# {"coordinate_unit":"bohr","format":"chemblender_grid_sample","grid_id":"9f539ed5-4473-42ac-ad09-c37c648f501a","grid_origin":[-6.130000114440918,-5.869999885559082,-6.070000171661377],"grid_revision":"ac799fc1e2c9555bb062d6910905bc6eb1f8c0e8363b58d2c6039a3f6dbcab1e","grid_shape":[45,45,45],"grid_step_vectors":[[0.2800000011920929,0.0,0.0],[0.0,0.2800000011920929,0.0],[0.0,0.0,0.2800000011920929]],"kind":"plane","provenance_ids":["9a43ce0f-c6fb-4ed7-a8c3-7d6072f169ab"],"sampling":{"counts":[97,97],"dataset_index":0,"origin":[-4.5,0.13,-4.5],"u_vector":[9.0,0.0,0.0],"v_vector":[0.0,0.0,9.0]},"semantic_role":"electrostatic_potential","source_calculation":null,"structure_id":"9a20aa19-f6e3-41a3-9c23-0fc2f631990b","value_unit":"hartree_per_elementary_charge","version":1}
x,y,z,distance,value,valid_mask,coordinate_unit,value_unit
-4.5,0.13,1.125,,-0.016721943683737479,1,bohr,hartree_per_elementary_charge
-4.5,0.13,1.21875,,-0.016022849227478719,1,bohr,hartree_per_elementary_charge
-4.5,0.13,1.3124999999999991,,-0.015317375439302474,1,bohr,hartree_per_elementary_charge
-4.5,0.13,1.40625,,-0.014611901651126207,1,bohr,hartree_per_elementary_charge
-4.5,0.13,1.5,,-0.013907886541837897,1,bohr,hartree_per_elementary_charge
-4.5,0.13,1.5937499999999991,,-0.013216087677505354,1,bohr,hartree_per_elementary_charge
-4.5,0.13,1.6875,,-0.012524288813172791,1,bohr,hartree_per_elementary_charge
-4.5,0.13,1.78125,,-0.011836213183491593,1,bohr,hartree_per_elementary_charge
-4.5,0.13,1.8749999999999991,,-0.011175440893214487,1,bohr,hartree_per_elementary_charge
-4.5,0.13,1.96875,,-0.010514668602937368,1,bohr,hartree_per_elementary_charge
-4.5,0.13,2.0625,,-0.0098598187799516911,1,bohr,hartree_per_elementary_charge
-4.5,0.13,2.1562499999999991,,-0.0092434645072166279,1,bohr,hartree_per_elementary_charge
-4.5,0.13,2.25,,-0.0086271102344815664,1,bohr,hartree_per_elementary_charge
-4.5,0.13,2.34375,,-0.0080186306444027661,1,bohr,hartree_per_elementary_charge
-4.5,0.13,2.4374999999999991,,-0.0074559668591268648,1,bohr,hartree_per_elementary_charge
-4.5,0.13,2.53125,,-0.0068933030738509669,1,bohr,hartree_per_elementary_charge
-4.5,0.13,2.625,,-0.0063400869813382485,1,bohr,hartree_per_elementary_charge
-4.5,0.13,2.7187499999999991,,-0.0058364707455596755,1,bohr,hartree_per_elementary_charge
